# gravestone model catalogue
# repository	file	quantisation	bytes	downloads
library/llava	llava:7b-v1.6-mistral-q3_K_S	Q3_K_S	3164567808	14800000
library/llava	llava:7b-v1.6-mistral-q4_K_S	Q4_K_S	4140374272	14800000
library/llava	llava:7b-v1.6-vicuna-q2_K	Q2_K	2532863808	14800000
library/llava	llava:7b-v1.6-vicuna-q3_K_L	Q3_K_L	3597111104	14800000
library/llava	llava:7b-v1.6-vicuna-q3_K_M	Q3_K_M	3298004800	14800000
library/llava	llava:7b-v1.6-vicuna-q3_K_S	Q3_K_S	2948304704	14800000
library/llava	llava:7b-v1.6-vicuna-q4_0	Q4_0	3825807168	14800000
library/llava	llava:7b-v1.6-vicuna-q4_1	Q4_1	4238749504	14800000
library/llava	llava:7b-v1.6-vicuna-q4_K_M	Q4_K_M	4081004352	14800000
library/llava	llava:7b-v1.6-vicuna-q4_K_S	Q4_K_S	3856740160	14800000
library/mxbai-embed-large	mxbai-embed-large:v1	F16	669603712	14200000
library/gpt-oss	gpt-oss:120b	MXFP4	65369799840	12500000
library/gpt-oss	gpt-oss:20b	MXFP4	13793422144	12500000
library/qwen3-coder	qwen3-coder:30b	Q4_K_M	18556688736	8900000
library/qwen3-coder	qwen3-coder:30b-a3b-fp16	F16	61095805248	8900000
library/qwen3-coder	qwen3-coder:30b-a3b-q8_0	Q8_0	32483934560	8900000
library/qwen3-coder	qwen3-coder:480b	Q4_K_M	290058824416	8900000
library/qwen3-coder	qwen3-coder:480b-a35b-fp16	F16	960439198368	8900000
library/qwen3-coder	qwen3-coder:480b-a35b-q8_0	Q8_0	510351876832	8900000
library/gemma	gemma:2b	Q4_0	1678447520	8199999
library/gemma	gemma:2b-instruct-q2_K	Q2_K	1285182368	8199999
library/gemma	gemma:2b-instruct-q3_K_L	Q3_K_L	1592849312	8199999
library/gemma	gemma:2b-instruct-q3_K_M	Q3_K_M	1511060384	8199999
library/gemma	gemma:2b-instruct-q3_K_S	Q3_K_S	1415238560	8199999
library/gemma	gemma:2b-instruct-q4_K_M	Q4_K_M	1757520800	8199999
library/gemma	gemma:2b-instruct-q4_K_S	Q4_K_S	1687098272	8199999
library/gemma	gemma:2b-instruct-v1.1-q2_K	Q2_K	1157924576	8199999
library/gemma	gemma:2b-instruct-v1.1-q3_K_L	Q3_K_L	1465591520	8199999
library/gemma	gemma:2b-instruct-v1.1-q3_K_M	Q3_K_M	1383802592	8199999
library/gemma	gemma:2b-instruct-v1.1-q3_K_S	Q3_K_S	1287980768	8199999
library/gemma	gemma:2b-instruct-v1.1-q4_1	Q4_1	1675052768	8199999
library/gemma	gemma:2b-instruct-v1.1-q4_K_M	Q4_K_M	1630263008	8199999
