library/codegemma	codegemma:2b-code-q4_0	Q4_0	1551189312	3200000
library/codegemma	codegemma:2b-code-q4_K_S	Q4_K_S	1559840064	3200000
library/codegemma	codegemma:2b-code-v1.1-q4_K_S	Q4_K_S	1559840064	3200000
library/codegemma	codegemma:2b-code-q4_K_M	Q4_K_M	1630262592	3200000
library/codegemma	codegemma:2b-code-v1.1-q4_K_M	Q4_K_M	1630262592	3200000
library/codegemma	codegemma:2b-code-q4_1	Q4_1	1675052352	3200000
library/codegemma	codegemma:2b-code-v1.1-q4_1	Q4_1	1675052352	3200000
library/codegemma	codegemma:2b-code-q5_0	Q5_0	1798915392	3200000
library/codegemma	codegemma:2b-code-q5_K_S	Q5_K_S	1798915392	3200000
library/codegemma	codegemma:2b-code-v1.1-q5_0	Q5_0	1798915392	3200000
library/codegemma	codegemma:2b-code-v1.1-q5_K_S	Q5_K_S	1798915392	3200000
library/codegemma	codegemma:2b-code-q5_K_M	Q5_K_M	1839650112	3200000
library/codegemma	codegemma:2b-code-v1.1-q5_K_M	Q5_K_M	1839650112	3200000
library/codegemma	codegemma:2b-code-q5_1	Q5_1	1922778432	3200000
library/codegemma	codegemma:2b-code-v1.1-q5_1	Q5_1	1922778432	3200000
library/codegemma	codegemma:2b-code-q6_K	Q6_K	2062124352	3200000
library/codegemma	codegemma:2b-code-v1.1-q6_K	Q6_K	2062124352	3200000
library/codegemma	codegemma:2b-code-q8_0	Q8_0	2669069632	3200000
library/codegemma	codegemma:2b-code-v1.1-q8_0	Q8_0	2669069632	3200000
library/codegemma	codegemma:7b-code-q2_K	Q2_K	3481446976	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q2_K	Q2_K	3481446976	3200000
library/codegemma	codegemma:7b-instruct-q2_K	Q2_K	3481447424	3200000
library/codegemma	codegemma:7b-code-q3_K_S	Q3_K_S	3982404160	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q3_K_S	Q3_K_S	3982404160	3200000
library/codegemma	codegemma:7b-instruct-q3_K_S	Q3_K_S	3982404608	3200000
library/codegemma	codegemma:7b-code-q3_K_M	Q3_K_M	4369328704	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q3_K_M	Q3_K_M	4369328704	3200000
library/codegemma	codegemma:7b-instruct-q3_K_M	Q3_K_M	4369329152	3200000
library/codegemma	codegemma:7b-code-q3_K_L	Q3_K_L	4709067328	3200000
library/codegemma	codegemma:7b-instruct-v1.1-q3_K_L	Q3_K_L	4709067328	3200000
library/codegemma	codegemma:7b-instruct-q3_K_L	Q3_K_L	4709067776	3200000
library/codegemma	codegemma:7b	Q4_0	5011843648	3200000
library/codegemma	codegemma:7b-code	Q4_0	5011843648	3200000
